@RELATION hs

@ATTRIBUTE sequence     string
@ATTRIBUTE incoming     NUMERIC
@ATTRIBUTE outgoing     NUMERIC
@ATTRIBUTE lifetime     NUMERIC
@ATTRIBUTE class        {HS-RP,Client-RP,noise}
@ATTRIBUTE inc_50     NUMERIC
@ATTRIBUTE out_50     NUMERIC
@DATA
-1+1-1+1+1-1+1-1+1-1+1-1,20571,1579,1211.06830311,noise,45,5
-1+1-1+1-1+1-1-1+1-1+1,32352,1862,636.474534035,noise,45,5
-1+1-1-1-1+1-1+1+1-1+1+1-1+1,46632,2459,644.090309143,noise,41,9
-1+1+1-1+1-1+1+1-1+1-1+1-1,6413,614,491.417878151,noise,45,5
-1+1-1+1-1+1-1+1-1-1+1-1,4068,324,568.642430067,noise,41,9
-1+1-1+1-1-1+1+1-1+1+1-1-1+1,14556,1020,771.188820124,noise,41,9
-1+1-1-1-1+1+1-1+1-1+1-1+1,11218,641,3181.90308309,noise,42,8
-1+1-1+1-1+1+1-1-1+1-1+1,13040,920,727.466356039,noise,42,8
-1+1-1+1+1-1+1-1+1-1+1,27714,2162,701.225393057,noise,40,10
-1+1-1+1-1+1-1+1-1-1+1,7203,570,371.651921988,noise,27,23
-1+1-1-1+1-1+1-1-1+1+1-1-1+1,30430,1984,855.742241859,noise,31,19
-1+1-1-1+1-1+1-1+1-1+1+1,9321,939,613.176640987,noise,32,18
-1+1-1+1-1-1+1-1-1+1-1-1+1,13231,1298,827.627778053,noise,36,14
-1+1-1+1+1-1-1+1-1+1+1-1+1,22570,1510,989.289079189,noise,41,9
-1+1-1-1+1+1-1+1-1+1-1-1+1,494,25,29.2076730728,noise,41,9
-1+1+1-1+1-1+1-1-1+1-1-1+1,17105,1492,632.805768013,noise,39,11
-1+1-1-1+1-1-1+1+1-1+1+1-1+1+1,841218,25244,1319.74887204,noise,45,5
-1+1-1+1-1-1-1+1-1+1+1-1-1+1+1,386693,12216,653.140921831,noise,36,14
-1+1-1+1-1+1-1+1-1-1+1,30717,1616,1766.16322803,noise,39,11
-1+1-1+1-1+1-1+1-1+1,44877,2221,644.861632824,noise,41,9
-1+1-1+1-1+1+1-1+1+1-1+1,20552,1911,1181.73570514,noise,44,6
-1+1-1-1+1+1+1-1+1-1+1-1-1+1,26381,1305,1155.49537992,noise,42,8
-1+1+1-1+1-1+1+1-1-1+1-1+1,7239,671,205.097738981,noise,31,19
-1+1-1+1+1-1+1-1-1+1-1+1,18790,1535,610.07931304,noise,45,5
-1+1-1+1-1-1+1-1-1+1-1-1+1,35633,1665,593.215724945,noise,38,12
-1+1-1-1+1-1-1+1-1+1+1-1+1,30238,1947,606.257929087,noise,45,5
-1+1-1+1+1-1-1+1-1+1-1-1+1-1,2938,299,2609.304456,noise,26,24
-1+1-1-1+1+1-1+1-1-1+1+1-1-1+1,44127,2302,928.010037899,noise,45,5
-1+1-1+1-1+1-1+1-1-1+1+1+1,4299,330,1314.11678982,noise,45,5
-1+1-1+1-1+1-1+1+1-1+1,20908,1557,816.47192812,noise,32,18
-1+1-1-1+1-1+1-1+1-1+1+1,1910,177,1272.17152381,noise,42,8
-1+1-1+1-1-1+1+1-1-1+1+1-1+1,51394,2339,885.314227104,noise,41,9
-1+1-1+1-1-1+1-1-1+1-1-1+1,38319,2391,775.775336981,noise,34,16
-1+1-1+1-1+1+1-1-1+1-1+1,27086,2149,607.891738176,noise,38,12
-1+1-1+1+1-1-1+1-1+1+1+1-1+1,14928,1374,1079.06912994,noise,35,15
-1+1-1+1-1+1+1-1+1+1-1+1+1+1,11330,1169,1112.23940492,noise,29,21
-1+1-1+1-1-1-1+1-1+1-1+1-1,12994,1177,660.114388943,noise,35,15
-1+1+1-1+1+1-1-1+1+1-1-1+1-1+1,24477,1285,327.845446825,noise,38,12
-1+1-1+1-1+1-1-1+1-1-1+1+1,32780,2223,703.673691988,noise,41,9
-1+1-1-1+1-1+1-1+1-1-1-1+1-1,51264,2299,815.498426914,noise,45,5
-1+1-1+1+1-1+1-1+1-1+1-1,24385,1592,587.001842022,noise,41,9
-1+1-1-1+1-1-1+1-1+1+1-1+1,13620,1106,786.384361982,noise,33,17
-1+1+1-1+1-1+1+1-1-1+1-1+1-1,13715,1222,712.790054083,noise,34,16
-1+1-1-1+1-1+1-1+1+1-1+1,21900,1068,1100.63832188,noise,36,14
-1+1-1+1-1+1-1+1-1+1,34963,2506,818.681236029,noise,34,16
-1+1-1+1+1-1-1+1-1+1-1+1,32439,2178,897.975991011,noise,31,19
-1+1-1+1-1-1+1-1-1+1+1-1+1,23949,1770,617.081088066,noise,37,13
-1+1-1-1+1-1-1+1+1-1-1+1+1-1-1+1-1,15948,1057,421.538370848,noise,41,9
-1+1-1+1-1+1-1+1-1+1-1,9348,503,415.246075153,noise,39,11
-1+1-1+1+1-1+1-1+1-1-1-1+1+1,19462,1638,600.046941042,noise,41,9
-1+1-1+1-1+1-1+1-1+1,35110,2145,604.669116974,noise,41,9
-1+1-1+1-1-1-1+1-1+1-1+1-1,8819,479,217.250551939,noise,43,7
-1+1+1-1+1+1-1-1+1+1+1-1+1-1+1,20438,1576,597.367443085,noise,41,9
-1+1-1-1+1+1-1+1-1-1+1+1-1+1+1+1,378037,11371,1031.35288095,noise,39,11
-1+1+1-1-1+1-1+1-1-1-1+1-1-1+1,1766,93,66.7013969421,noise,45,5
-1+1-1+1-1+1+1-1+1-1-1+1,195820,5932,845.258063078,noise,45,5
-1+1-1+1-1+1-1+1-1+1+1,7035,789,612.514311075,noise,43,7
-1+1-1+1+1-1+1+1-1+1-1+1,2531,232,639.646682978,noise,41,9
-1+1-1+1+1-1+1+1-1+1-1+1,9797,683,255.071793079,noise,45,5
-1+1+1-1+1+1-1+1-1-1+1+1-1+1,5272,324,98.1193289757,noise,41,9
-1+1-1+1-1-1+1-1+1-1+1,39135,2586,1807.35075688,noise,23,27
-1+1+1-1+1+1-1+1-1+1-1-1+1+1,19575,1581,625.902112961,noise,41,9
-1+1-1+1+1-1+1+1+1-1+1-1+1,1497,121,172.06595993,noise,37,13
-1+1-1+1+1+1-1+1-1+1-1+1,26095,1861,661.498512983,noise,35,15
-1+1-1+1-1-1+1-1+1-1+1,27609,2083,1161.6791122,noise,40,10
-1+1-1-1+1+1-1+1-1+1+1+1-1+1,15954,1447,432.932653904,noise,44,6
-1+1-1+1+1+1-1+1-1+1-1+1-1,18179,1062,457.081745863,noise,41,9
-1+1-1+1-1+1-1+1+1-1+1,14955,746,343.254395008,noise,36,14
-1+1-1+1-1+1-1+1-1+1+1,5568,598,261.075577974,noise,42,8
-1+1-1-1+1-1+1+1+1-1+1-1-1+1+1,56619,2457,611.989680052,noise,41,9
-1+1-1+1-1+1-1+1-1-1+1-1,20135,1169,679.413946867,noise,41,9
-1+1-1-1+1-1+1-1+1-1+1,43722,2024,1288.82656598,noise,38,12
-1+1-1+1+1-1+1-1+1-1-1+1-1,1365,177,172.617197037,noise,38,12
-1+1+1-1+1-1-1+1-1-1+1-1+1,381507,11625,575.061538935,noise,39,11
-1+1-1+1-1+1-1+1+1-1+1,375,35,190.475697041,noise,41,9
-1+1-1+1+1-1-1+1-1+1+1-1-1+1-1,65887,2857,625.209553003,noise,36,14
-1+1+1-1+1-1-1+1-1-1+1-1-1+1,75300,2917,968.768307209,noise,36,14
-1+1-1-1+1-1-1+1+1-1+1-1+1+1,19998,1698,602.6775949,noise,45,5
-1+1-1+1-1+1-1+1-1+1,43763,3007,838.61281395,noise,41,9
-1+1-1+1-1-1+1-1+1-1+1,14110,1084,508.327630997,noise,45,5
-1+1-1+1+1-1+1-1-1+1-1-1+1,10552,647,685.609428167,noise,37,13
-1+1-1+1-1+1+1-1+1+1-1+1+1,204551,6578,404.204831123,noise,45,5
-1+1-1+1-1-1+1-1+1-1+1+1,12251,1103,530.677624941,noise,44,6
-1+1-1+1-1+1-1+1-1+1,97637,4029,1664.25738311,noise,39,11
-1+1-1-1+1+1-1+1+1-1-1+1-1+1,57430,3287,712.093408823,noise,41,9
-1+1+1-1-1+1-1+1+1-1+1+1-1+1,4069,220,93.5972678661,noise,41,9
-1+1-1+1-1+1-1+1+1-1-1+1+1,40129,2932,1115.82848406,noise,34,16
-1+1-1+1-1-1+1-1+1-1+1,5,6,929.006207943,noise,5,6
-1+1-1-1+1-1-1+1-1+1-1+1,11345,872,606.80454278,noise,27,23
-1+1-1+1-1-1+1-1-1+1-1+1,1112025,33485,1108.58194685,noise,36,14
-1+1-1+1-1+1-1+1-1+1+1,25087,2018,1197.99749184,noise,41,9
-1+1-1+1+1-1+1+1-1+1-1-1+1,378024,11374,892.264569998,noise,36,14
-1+1-1+1-1+1-1+1-1+1,13939,1197,984.375256062,noise,41,9
-1+1-1+1-1-1+1-1-1+1+1-1+1,10214,908,1195.16468191,noise,37,13
-1+1-1+1-1+1-1-1+1-1+1,7388,321,109.589415073,noise,42,8
-1+1-1+1+1-1-1+1-1+1+1-1+1,27842,2031,646.679790974,noise,41,9
-1+1-1-1+1+1-1+1-1-1+1-1+1,15158,888,777.775959969,noise,31,19
-1+1-1+1-1-1+1-1-1+1-1+1+1,3071,276,772.476139069,noise,41,9
-1+1-1+1-1+1-1+1-1-1+1+1,7215,734,1005.75832891,noise,41,9
-1+1-1+1-1+1-1-1+1-1+1,12813,1201,741.779504061,noise,36,14
-1+1+1-1+1-1+1+1+1-1-1+1-1+1,2928,204,1895.88085914,noise,41,9
-1+1-1+1+1-1-1+1-1+1-1-1+1-1,1933,159,468.811623812,noise,35,15
-1+1-1-1+1-1+1-1-1+1+1-1+1,3913,301,761.191607952,noise,41,9
